peak_idx,retention_time,arrival_time,departure_time,area,height,detector,carbon_conc_mM,buffer_base,compound,rel_area_phosphate,rel_area_NaCl
1,10.888,10.425,11.925,234748,13961,B,0.0,DM,NaCl,0.13684459043915975,1.0
2,13.944,12.558,14.208,1715435,45586,B,0.0,DM,phosphate,1.0,7.307559595821902
3,14.333,14.208,15.05,163595,9392,B,0.0,DM,phosphate,0.09536648138810272,0.696896246187401
1,11.005999999999998,10.6,12.192,1448992,84645,B,0.0,N-C-,NaCl,0.3327717444225402,1.0
2,14.466,12.642,17.333,4354312,95115,B,0.0,N-C-,phosphate,1.0,3.005062829884499
1,10.885,10.433,11.733,228955,13741,B,0.1,DM,NaCl,0.13068528508405172,1.0
2,13.95,12.533,14.217,1751957,46233,B,0.1,DM,phosphate,1.0,7.65197091131445
3,14.332,14.217,15.0,164453,9723,B,0.1,DM,phosphate,0.09386817142201549,0.718276517219541
4,15.668,15.308,16.183,10531,480,B,0.1,DM,glucose,0.006010992278920087,0.04599593806643227
6,22.057,21.642,22.633000000000006,3477,130,B,0.1,DM,glycerol,0.001984637750812377,0.015186390338712847
1,11.004,10.608,12.342,1382701,80554,B,0.1,N-C-,NaCl,0.38857434320810363,1.0
2,14.357,12.625,15.325,3558395,81327,B,0.1,N-C-,phosphate,1.0,2.57351010811448
3,15.652,15.325,16.392,15399,521,B,0.1,N-C-,glucose,0.004327512825304667,0.011136897998916612
4,22.057,21.692,22.575,2370,92,B,0.1,N-C-,glycerol,0.0006660306121158556,0.001714036512593829
1,10.89,10.442,12.017,241680,14383,B,0.3,DM,NaCl,0.13277814984130681,1.0
2,13.973,12.583,14.233,1820179,47578,B,0.3,DM,phosphate,1.0,7.531359649122807
3,14.337,14.233,15.033,170732,10359,B,0.3,DM,phosphate,0.09379956586687353,0.7064382654750083
4,15.675,15.233,16.292,34835,1489,B,0.3,DM,glucose,0.019138227613877536,0.14413687520688515
5,22.066,21.592,22.717,10141,375,B,0.3,DM,glycerol,0.005571430062647684,0.04196044356173453
6,25.05,24.617,25.617,3779,135,B,0.3,DM,acetate,0.0020761694316877625,0.015636378682555446
1,11.001,10.6,12.592,1430641,80657,B,0.3,N-C-,NaCl,0.3949667341306246,1.0
2,14.352,12.592,15.258,3622181,81588,B,0.3,N-C-,phosphate,1.0,2.531858796162
3,15.657,15.258,16.317,38804,1368,B,0.3,N-C-,glucose,0.0107128826527443,0.027123506176601957
4,22.047,21.575,22.6,8125,311,B,0.3,N-C-,glycerol,0.0022431236870824513,0.005679272438019042
5,25.033,24.575,25.6,4641,156,B,0.3,N-C-,acetate,0.001281272250061496,0.003244000416596477
1,10.884,10.433,12.092,226564,13397,B,0.5,DM,NaCl,0.14479264392732888,1.0
2,13.899,12.5,14.175,1564748,42636,B,0.5,DM,phosphate,1.0,6.906428205716707
3,14.323,14.175,15.017,147138,8059,B,0.5,DM,phosphate,0.09403303279505709,0.6494323899648664
4,15.671,15.208,16.4,46331,1964,B,0.5,DM,glucose,0.0296092405933735,0.20449409438392685
5,22.054,21.542,22.675,13760,522,B,0.5,DM,glycerol,0.008793748258505523,0.06073339100651472
6,25.033,24.558000000000003,25.675,5906,199,B,0.5,DM,acetate,0.0037744096813033153,0.026067689482883422
1,11.004,10.608,12.125,1371353,80328,B,0.5,N-C-,NaCl,0.38592428431724324,1.0
2,14.354,12.625,15.225,3553425,81134,B,0.5,N-C-,phosphate,1.0,2.5911818474163835
3,15.662,15.225,16.492,55804,2113,B,0.5,N-C-,glucose,0.015704285302208434,0.04069265900173041
4,22.05,21.558000000000003,22.7,13494,508,B,0.5,N-C-,glycerol,0.0037974630110386457,0.009839917220438501
5,25.009,24.583,25.792,5430,190,B,0.5,N-C-,acetate,0.001528103168070242,0.003959593190083079
1,10.885,10.425,12.033,240921,14339,B,1.0,DM,NaCl,0.13370891403860072,1.0
2,13.96,12.542,14.225,1801832,47178,B,1.0,DM,phosphate,1.0,7.478932928221284
3,14.33,14.225,15.058,175164,10218,B,1.0,DM,phosphate,0.09721439068681209,0.7270599076045675
4,15.67,15.058,16.775,129577,5044,B,1.0,DM,glucose,0.07191402972086187,0.5378402048804379
5,22.057,21.5,23.025,33027,1201,B,1.0,DM,glycerol,0.018329677794600163,0.13708643082172164
6,25.029,24.5,25.642,12367,437,B,1.0,DM,acetate,0.00686356996656736,0.05133217942811129
1,11.004,10.608,12.15,1374091,80470,B,1.0,N-C-,NaCl,0.3864608715999883,1.0
2,14.355,12.658,15.208,3555576,81195,B,1.0,N-C-,phosphate,1.0,2.587584082859141
3,15.665,15.208,17.042,107550,4063,B,1.0,N-C-,glucose,0.030248263572484457,0.07826992535428877
4,22.057,21.508000000000006,22.9,27979,1020,B,1.0,N-C-,glycerol,0.007869048502971107,0.02036182465353459
5,25.013,24.475,25.692,12234,423,B,1.0,N-C-,acetate,0.003440792715441886,0.008903340462895107
1,10.880999999999998,10.425,11.7,224917,13392,B,2.0,DM,NaCl,0.14282103888896297,1.0
2,13.897,12.55,14.175,1574817,42793,B,2.0,DM,phosphate,1.0,7.001769541653143
3,14.32,14.175,15.067,156091,8237,B,2.0,DM,phosphate,0.09911691326674782,0.6939937843737912
4,15.67,15.067,17.117,199632,7876,B,2.0,DM,glucose,0.12676520510002115,0.8875807520107417
5,22.057,21.467,22.817,56679,2072,B,2.0,DM,glycerol,0.03599084846048779,0.25199962652889735
6,25.031,24.475,25.875,23049,787,B,2.0,DM,acetate,0.014635986276500697,0.10247780292285599
1,11.01,10.592,12.2,1578035,92022,B,2.0,N-C-,NaCl,0.3195358854329291,1.0
2,14.539,12.633,15.217,4938522,105786,B,2.0,N-C-,phosphate,1.0,3.129538951924387
3,15.661,15.217,17.375,307515,11922,B,2.0,N-C-,glucose,0.062268630169107275,0.19487210359719526
4,22.053,21.458,22.883000000000006,76771,2822,B,2.0,N-C-,glycerol,0.015545339273572134,0.04864974477752394
5,25.019,24.425,25.775,30600,1048,B,2.0,N-C-,acetate,0.006196185822397875,0.019391204884555792
1,10.882,10.408,11.975,251029,14831,B,3.0,DM,NaCl,0.1387540661023179,1.0
2,13.959,12.55,14.225,1809165,47308,B,3.0,DM,phosphate,1.0,7.206996004445702
3,14.326,14.225,15.025,173890,10267,B,3.0,DM,phosphate,0.0961161640867472,0.6927088105358346
4,15.667,15.025,16.883,363813,14607,B,3.0,DM,glucose,0.20109442753977663,1.449286735795466
5,22.056,21.442,23.0,98314,3575,B,3.0,DM,glycerol,0.05434219653818198,0.39164399332348054
6,25.028,24.408,25.817,38568,1310,B,3.0,DM,acetate,0.0213181218960128,0.1536396193268507
1,11.0,10.6,12.492,1387138,80630,B,3.0,N-C-,NaCl,0.38959899450206087,1.0
2,14.35,12.625,15.142,3560425,81209,B,3.0,N-C-,phosphate,1.0,2.5667417373037145
3,15.66,15.142,17.567,301384,11747,B,3.0,N-C-,glucose,0.08464832147847519,0.21727037973150473
4,22.052,21.425,22.842,82886,3035,B,3.0,N-C-,glycerol,0.023279805079449784,0.05975324733371878
5,25.018,24.375,25.758000000000006,35877,1221,B,3.0,N-C-,acetate,0.010076606023157348,0.025864045250003964
1,10.888,10.425,12.067,248248,14651,B,5.0,DM,NaCl,0.1383866081935566,1.0
2,13.963,12.542,14.225,1793873,47046,B,5.0,DM,phosphate,1.0,7.226132738229513
3,14.334,14.225,15.025,174893,10131,B,5.0,DM,phosphate,0.09749463869515847,0.7045092004769424
4,15.677,15.025,16.892,587209,23733,B,5.0,DM,glucose,0.3273414561677443,2.365412812993458
5,22.068,21.408,23.05,159838,5823,B,5.0,DM,glycerol,0.0891021828189621,0.6438642003158133
6,25.041,24.392,26.058000000000003,62981,2127,B,5.0,DM,acetate,0.03510895141406332,0.25370194321807227
1,11.01,10.592,12.575,1624019,91582,B,5.0,N-C-,NaCl,0.3457780756695806,1.0
2,14.5,12.575,15.175,4696709,100396,B,5.0,N-C-,phosphate,1.0,2.8920283568110965
3,15.662,15.175,17.592,681118,26396,B,5.0,N-C-,glucose,0.14502026844754487,0.41940272866265726
5,22.054,21.358,22.967,177088,6462,B,5.0,N-C-,glycerol,0.03770469918404568,0.10904305922529231
6,25.018,24.35,25.75,72395,2466,B,5.0,N-C-,acetate,0.015413984558123572,0.044577680433541725
1,10.887,10.433,11.792,261045,15436,B,10.0,DM,NaCl,0.13660139885023428,1.0
2,13.989,12.558,14.25,1910998,49196,B,10.0,DM,phosphate,1.0,7.320569250512364
3,14.332,14.25,15.025,180597,11211,B,10.0,DM,phosphate,0.09450402355209163,0.6918232488651382
4,15.673,15.025,17.683,1268240,51159,B,10.0,DM,glucose,0.6636532324994584,4.858319446838667
6,22.062,21.375,23.1,341390,12400,B,10.0,DM,glycerol,0.1786448756094983,1.3077821831484993
7,25.033,24.333,25.967,132814,4461,B,10.0,DM,acetate,0.06949981109347053,0.5087781800072785
1,11.015,10.592,12.158,1712445,99436,B,10.0,N-C-,NaCl,0.3241102627298512,1.0
2,14.578,12.642,15.175,5283526,111696,B,10.0,N-C-,phosphate,1.0,3.085369749101431
3,15.662,15.175,18.55,1513220,60685,B,10.0,N-C-,glucose,0.2864034358873222,0.8836604971254551
4,22.052,21.333,23.242,408326,14856,B,10.0,N-C-,glycerol,0.07728285996889199,0.2384461982720613
5,25.011,24.325,26.0,163463,5537,B,10.0,N-C-,acetate,0.03093824086415019,0.09545591245266272
1,10.880999999999998,10.425,11.817,225436,13327,B,15.0,DM,NaCl,0.14324975043320728,1.0
2,13.897,12.567,14.175,1573727,42746,B,15.0,DM,phosphate,1.0,6.980814954133324
3,14.32,14.175,15.025,154292,8164,B,15.0,DM,phosphate,0.09804241777639959,0.6844159761528771
4,15.671,15.025,17.817,1417980,57221,B,15.0,DM,glucose,0.9010330254230879,6.289944818041484
6,22.061,21.342,23.275,419612,15161,B,15.0,DM,glycerol,0.2666358269255087,1.8613353679092957
7,25.031,24.342,26.233,179591,6003,B,15.0,DM,acetate,0.11411826828922679,0.796638513813233
1,11.001,10.6,12.592,1435011,80692,B,15.0,N-C-,NaCl,0.39389324669029274,1.0
2,14.351,12.592,15.1,3643147,81523,B,15.0,N-C-,phosphate,1.0,2.5387589363426484
3,15.664,15.1,17.992,1456259,57820,B,15.0,N-C-,glucose,0.39972556693430156,1.0148068551390896
4,22.061,21.35,23.167,413599,15090,B,15.0,N-C-,glycerol,0.11352794712922647,0.2882200902989594
5,25.02,24.308000000000003,26.233,179832,6036,B,15.0,N-C-,acetate,0.04936171941456109,0.12531750627695537
1,10.887,10.417,11.75,272416,15955,B,20.0,DM,NaCl,0.1399781001606776,1.0
2,13.996,12.55,14.258,1946133,49768,B,20.0,DM,phosphate,1.0,7.143974656407847
3,14.33,14.258,15.017,178711,11495,B,20.0,DM,phosphate,0.0918287701816885,0.6560224069070832
4,15.673,15.017,17.683,2537509,102832,B,20.0,DM,glucose,1.303872345826313,9.314830993774228
5,22.06,21.317,23.208,693163,25110,B,20.0,DM,glycerol,0.35617452661251825,2.5445017913778925
6,25.028,24.308000000000003,26.0,270852,9082,B,20.0,DM,acetate,0.13917445518882832,0.9942587806883589
1,10.999,10.6,11.967,1364538,80487,B,20.0,N-C-,NaCl,0.38407310499188246,1.0
2,14.347,12.633,15.083,3552808,80943,B,20.0,N-C-,phosphate,1.0,2.603670986077339
3,15.66,15.083,18.458,1888391,76558,B,20.0,N-C-,glucose,0.5315207013719851,1.3839050286617156
4,22.057,21.333,23.342,551179,20082,B,20.0,N-C-,glycerol,0.15513897739478183,0.4039308542525016
5,25.015,24.292,26.075,237629,8024,B,20.0,N-C-,acetate,0.06688484151127784,0.1741461212512953
1,10.887,10.4,11.783,264802,15461,B,25.0,DM,NaCl,0.14159247555035104,1.0
2,13.978,12.567,14.242,1870170,48386,B,25.0,DM,phosphate,1.0,7.06252218638832
3,14.33,14.242,15.0,175863,10738,B,25.0,DM,phosphate,0.09403583631434576,0.6641301802856474
4,15.674,15.0,18.467,3006489,121510,B,25.0,DM,glucose,1.6076019827074544,11.35372466975325
5,22.062,21.317,23.217,829612,30087,B,25.0,DM,glycerol,0.4436024532529128,3.1329521680349846
6,25.027,24.283,26.4,333589,11107,B,25.0,DM,acetate,0.17837362378821175,1.259767675470729
1,11.0,10.6,11.9,1360720,80431,B,25.0,N-C-,NaCl,0.38329536210133025,1.0
2,14.347,12.625,15.083,3550056,80828,B,25.0,N-C-,phosphate,1.0,2.6089540831324594
3,15.662,15.083,18.592,2356023,95692,B,25.0,N-C-,glucose,0.6636579817332459,1.731453201246399
4,22.059,21.3,23.717,692632,25135,B,25.0,N-C-,glycerol,0.19510452792857352,0.5090187547768829
5,25.014,24.267,26.075,297049,10029,B,25.0,N-C-,acetate,0.08367445471282707,0.21830281027691223
1,10.884,10.417,11.3,229061,13284,B,30.0,DM,NaCl,0.14551343989195487,1.0
3,13.899,12.575,14.175,1574157,42704,B,30.0,DM,phosphate,1.0,6.872217444261572
4,14.322,14.175,15.008,154910,8153,B,30.0,DM,phosphate,0.09840822738773833,0.6762827369128748
5,15.675,15.008,18.125,2829841,114556,B,30.0,DM,glucose,1.7976866348146976,12.354093451089447
6,22.065,21.333,23.7,841465,30334,B,30.0,DM,glycerol,0.5345496033750128,3.6735411091368673
7,25.03,24.292,26.042,356501,11963,B,30.0,DM,acetate,0.22647105720712737,1.556358349959181
1,11.003,10.6,12.658,1527576,83969,B,30.0,N-C-,NaCl,0.3932340845296665,1.0
2,14.384,12.658,15.092,3884648,85747,B,30.0,N-C-,phosphate,1.0,2.5430145537767026
3,15.662,15.092,18.75,3099783,124535,B,30.0,N-C-,glucose,0.7979572409134624,2.0292168769344374
4,22.057,21.3,23.567,884873,32230,B,30.0,N-C-,glycerol,0.2277871765987549,0.5792661052543376
5,25.01,24.258000000000006,26.142,376989,12730,B,30.0,N-C-,acetate,0.09704585846645565,0.24678903046395073
